agent,model,runs,tasks,successful_runs,pass_rate_micro,median_duration_seconds,median_steps,median_tool_calls,trajectory_coverage,cost_field_coverage,positive_cost_coverage,median_positive_cost_usd,mean_suspected_waste_rate,mean_error_event_rate,mean_repeat_rate,missing_verification_rate,dataset_revision,snapshot_cutoff,pass_rate_macro_by_task,pass_rate_wilson_low,pass_rate_wilson_high,cost_metrics_eligible,public_rank_eligible,observed_cost_per_success_usd
mux,gpt-5.2@openai,89,89,54,0.6067415730337079,536.2849731445312,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-01-16 02:32:06.066743+00:00,0.6067415730337079,0.5028634843406101,0.7017861554760239,false,false,
terminus-2,qwen/qwen3-coder-480b-a35b-instruct-fp8@together_ai,929,89,224,0.2411194833153929,476.0169982910156,35.0,34.0,0.9989235737351991,1.0,0.9978471474703983,0.7632420349121094,0.006859935659236472,0.08652431299922023,0.048481133709517454,0.8148546824542519,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-01 20:36:14.827994+00:00,0.2389513108614232,0.21471410463720403,0.2696570897863723,true,true,7.6155175238581645
spoox-m,gpt-5-mini@openai,445,89,155,0.34831460674157305,879.822998046875,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-30 20:06:17.418645+00:00,0.34831460674157305,0.3055165180810726,0.3937092221355206,false,true,
terminus-2,gemini-3-pro-preview@gemini,445,89,253,0.5685393258426966,309.4429931640625,10.0,21.0,1.0,1.0,1.0,0.2882146072387695,0.007627874770097462,0.06265107151356272,0.06687258509653604,0.6898876404494382,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,,0.5685393258426966,0.522128389010998,0.6137770172615045,true,true,0.809008149214884
gemini-cli,gemini-3-flash-preview@google,890,89,438,0.49213483146067416,520.0000002441407,0.0,0.0,0.0,1.0,0.49325842696629213,0.11560600000000001,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-03-05 22:54:39.383638+00:00,0.4921348314606741,0.45939366601260584,0.5249436035886299,false,true,
ruley,gpt-5.3-codex@openai,445,89,313,0.7033707865168539,408.73699951171875,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-09 09:57:39.899882+00:00,0.7033707865168539,0.6593363468594883,0.7439239569982646,false,true,
terminus-2,openai/gpt-oss-120b@together_ai,925,89,178,0.19243243243243244,182.8820037841797,7.0,15.0,0.9989189189189189,1.0,0.9978378378378379,0.005610150098800659,0.001915202614522025,0.19815684394534244,0.04645639321932014,0.6854054054054054,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-01 20:45:49.611794+00:00,0.18689138576779027,0.16832051619400568,0.21908848874289644,true,true,0.13953885843077402
terminus-2,claude-opus-4-5-20251101@anthropic,445,89,257,0.5775280898876405,399.17498779296875,22.0,33.0,1.0,1.0,0.9977528089887641,0.33245000839233396,0.01322800043392704,0.056266473099359095,0.06611151950419361,0.6831460674157304,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,,0.5775280898876405,0.5311619469403605,0.6225671191711587,true,true,0.9965563431602509
claude-code,claude-opus-4-5-20251101@anthropic,445,89,232,0.5213483146067416,292.5450134277344,36.0,21.0,0.9797752808988764,1.0,0.0,,0.011711601763261333,0.06491820069185719,0.034494792505098,0.8584269662921349,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-18 12:59:53.153433+00:00,0.5213483146067416,0.4749501980112503,0.5673809941064144,false,true,
mini-swe-agent,openai/gpt-oss-120b@together_ai,887,89,126,0.14205186020293123,164.41000366210938,9.0,7.0,0.9966178128523112,1.0,0.9943630214205186,0.00521655023097992,0.001536503833604819,0.15218806826934045,0.02886264934819572,0.6696730552423901,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 09:40:38.454826+00:00,0.14207240948813982,0.12061851728540222,0.16657238174760208,true,true,0.1227826836001542
gemini-cli,gemini-2.5-pro@gemini,437,89,86,0.19679633867276888,495.51800537109375,12.0,10.0,0.8718535469107551,1.0,0.8718535469107551,0.3055217552185059,0.024699482612436256,0.3051087699078532,0.03666080935498366,0.09839816933638444,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-05 12:07:57.909648+00:00,0.19550561797752808,0.1622307359919099,0.23664632098274951,true,true,2.0826547950922056
mini-swe-agent,claude-opus-4-1-20250805@anthropic,444,89,156,0.35135135135135137,369.77349853515625,22.0,20.0,0.9662162162162162,1.0,0.963963963963964,1.0414732360839842,0.0009054160969684051,0.08339982717126593,0.001226902036592729,0.6959459459459459,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 09:42:33.328491+00:00,0.350561797752809,0.3083931022324162,0.39685982648166485,true,true,4.889911905924479
ante,gemini-3-pro-preview@google,444,89,288,0.6486486486486487,313.2224884033203,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-01-01 14:45:30.905477+00:00,0.6471910112359551,0.6031401735183353,0.6916068977675838,false,true,
goose,claude-sonnet-4-5@anthropic,445,89,192,0.4314606741573034,337.6759948730469,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-04 07:24:16.805071+00:00,0.4314606741573034,0.38622298273849565,0.4778716109890021,false,true,
mini-swe-agent,gpt-5-codex@openai,444,89,184,0.4144144144144144,659.3874816894531,17.0,15.0,0.9594594594594594,1.0,0.9572072072072072,0.2279344940185547,0.005106671875985289,0.07280110260881628,0.007281869294557216,0.40765765765765766,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-03 22:17:37.862836+00:00,0.4134831460674157,0.36951728667790185,0.46077985409687205,true,true,0.8789264641823652
forge,gemini-3.1-pro-preview@google,445,89,349,0.7842696629213484,284.894,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-26 19:13:33.224893+00:00,0.7842696629213483,0.7437051367469287,0.8199681056619748,false,true,
aone-agent,qwen/qwen3-coder-480b-a35b-instruct-fp8@modelscope,442,89,121,0.2737556561085973,766.4014892578125,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-26 03:05:39.337519+00:00,0.27191011235955054,0.23426984987077348,0.31714033706557343,false,true,
claude-code,claude-sonnet-4-5-20250929@anthropic,437,89,173,0.39588100686498856,291.5660095214844,39.0,22.0,0.9244851258581236,1.0,0.8832951945080092,0.31306154251098633,0.0066696227493603325,0.05393785769468019,0.03086105779319707,0.7986270022883295,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-05 12:07:56.996486+00:00,0.400561797752809,0.35112746122752647,0.44244918852603576,true,true,1.5781733372514646
codex,gpt-5.1-codex@openai,445,89,257,0.5775280898876405,295.35101318359375,0.0,0.0,0.0,1.0,0.8786516853932584,0.1684025001525879,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-16 21:51:35.261948+00:00,0.5775280898876405,0.5311619469403605,0.6225671191711587,true,true,0.5867687388706648
terminus-2,minimax-m2.1@openai,438,89,130,0.2968036529680365,417.9540100097656,21.0,31.0,1.0,1.0,0.0,,0.011871681932581557,0.06629300155702983,0.05917378769380593,0.6484018264840182,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,,0.29213483146067415,0.2559350919887554,0.34120560277606526,false,true,
openhands,gemini-2.5-flash@gemini,445,89,73,0.16404494382022472,404.9070129394531,63.0,49.0,0.9797752808988764,1.0,0.9797752808988764,0.05874275684356689,0.0,0.06642306332136996,0.512319068548089,0.1707865168539326,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 08:29:19.536883+00:00,0.16404494382022472,0.13254029206875623,0.20130042144799448,true,true,1.308048956077801
terminus-2,glm-5@z-ai,442,89,231,0.5226244343891403,601.1529846191406,15.0,23.0,0.8506787330316742,1.0,0.0,,0.01804243671977856,0.07301442147529397,0.06524754561280184,0.5429864253393665,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-14 18:27:08.501445+00:00,0.5241573033707865,0.47606403159551663,0.5687949497108487,false,true,
terminus-2,gpt-5-mini@openai,438,89,107,0.24429223744292236,442.67750549316406,6.0,27.0,0.997716894977169,1.0,0.997716894977169,0.025721349716186524,0.001384904927992728,0.01748107178658488,0.015443337899675181,0.6255707762557078,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-10-31 07:11:15.899084+00:00,0.2404494382022472,0.20638983170055636,0.2866411549697798,true,true,0.26043175714734557
terminus-2,grok-4-0709@xai,436,89,103,0.23623853211009174,835.239501953125,7.0,14.0,1.0,1.0,0.9747706422018348,0.0643391990661621,0.011887136588620287,0.046485747241110556,0.06785772536874402,0.5871559633027523,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,,0.2314606741573034,0.19877804222089432,0.2783064354637995,true,true,0.41129460038780014
terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,904,89,224,0.24778761061946902,268.64500427246094,28.0,38.0,1.0,1.0,1.0,0.05604959487915039,0.008518311830959129,0.1284351703243011,0.05105503977825072,0.7942477876106194,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-02 23:05:02.364517+00:00,0.24531835205992508,0.22075045871185636,0.2769592739111034,true,true,0.4718257430342159
terminus-3-3,gemini-3.1-pro-preview@google,445,89,333,0.748314606741573,446.9949951171875,18.0,28.0,0.9685393258426966,1.0,1.0,0.5016780090332031,0.023743957778536565,0.06012528397042543,0.10909205159186755,0.8449438202247191,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-20 04:11:57.567408+00:00,0.748314606741573,0.7059835437643198,0.7863950592885167,true,true,1.008876670316175
letta-code,gemini-3-pro-preview@google,445,89,249,0.5595505617977528,303.4200134277344,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-13 18:47:18.270977+00:00,0.5595505617977528,0.5131100784839873,0.6049716679494983,false,true,
terminus-2,claude-opus-4-1-20250805@anthropic,443,89,169,0.38148984198645597,396.7860107421875,15.0,31.0,0.9954853273137697,1.0,1.0,0.9003839874267578,0.010642058536980912,0.06453655547278535,0.06075693651791362,0.6139954853273137,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-10-31 07:05:11.356227+00:00,0.37977528089887636,0.33745761431328597,0.42755978782653264,true,true,4.9263958748416785
TerminalBenchAgent,claude-sonnet-4-5@anthropic,445,89,207,0.4651685393258427,392.4490051269531,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-21 07:51:20.629373+00:00,0.4651685393258427,0.41932085434264454,0.5116124637811658,false,true,
opencode,claude-opus-4-5@anthropic,89,89,46,0.5168539325842697,405.4750061035156,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-01-12 01:26:02.817302+00:00,0.5168539325842697,0.4145040372503965,0.6178090637732825,false,false,
Junie,gemini-3-flash-preview@gemini,445,89,286,0.6426966292134831,293.8320007324219,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-23 00:20:17.830932+00:00,0.6426966292134831,0.5971250751373883,0.6858255248070019,false,true,
letta-code,gpt-5.1-codex@openai,445,89,238,0.5348314606741573,509.05499267578125,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-15 14:07:09.600044+00:00,0.5348314606741573,0.4883875362188343,0.5806791456573556,false,true,
openhands,gpt-5@openai,445,89,195,0.43820224719101125,947.97802734375,41.0,29.0,0.9797752808988764,1.0,0.9752808988764045,0.39391937255859377,0.0,0.04601637948972347,0.5108853283149276,0.31685393258426964,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 05:13:18.613114+00:00,0.43820224719101125,0.3928255713406095,0.48463676726615074,true,true,1.1117181607759916
terminus-2,glm-4.7@z-ai,427,89,147,0.3442622950819672,630.0999755859375,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-01-27 20:01:15.442521+00:00,0.3338951310861423,0.3007645084171736,0.39053735287013014,false,true,
codex,gpt-5.1-codex-mini@openai,445,89,192,0.4314606741573034,283.27301025390625,0.0,0.0,0.0,1.0,0.8876404494382022,0.048593850135803224,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-17 23:57:08.695801+00:00,0.4314606741573034,0.38622298273849565,0.4778716109890021,true,true,0.2642499913738963
final,claude-4.5-sonnet@anthropic,322,89,75,0.2329192546583851,924.9210205078125,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-09 20:40:19.549024+00:00,0.42696629213483145,0.19006406001781823,0.2820720944817913,false,true,
mux,claude-opus-4-5@anthropic,89,89,52,0.5842696629213483,364.3280029296875,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-01-16 00:52:53.821215+00:00,0.5842696629213483,0.4804691516664702,0.6810963534519249,false,false,
mini-swe-agent,gemini-2.5-pro@gemini,444,89,116,0.26126126126126126,369.46949768066406,16.0,14.0,0.9797297297297297,1.0,0.9774774774774775,0.28049056053161625,0.002130599027018397,0.1200379788679627,0.008190505165116593,0.6081081081081081,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-03 22:17:07.373939+00:00,0.2606741573033708,0.2225686863398708,0.3040496537160775,true,true,2.8019738691223077
simple_codex,gpt-5.3-codex@openai,443,89,332,0.7494356659142212,655.551025390625,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-05 17:48:45.440456+00:00,0.750561797752809,0.7070543808688946,0.7875280393892011,false,true,
openhands,moonshotai/kimi-k2-instruct-0905@together_ai,875,89,238,0.272,481.6809997558594,81.0,71.0,0.9828571428571429,1.0,0.984,0.7791799926757812,0.0,0.062370571261017645,0.5286333029508263,0.22057142857142858,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 09:54:19.598524+00:00,0.27091136079900124,0.24355920134839187,0.30243406979398474,true,true,5.379387640231798
goose,claude-haiku-4-5@anthropic,445,89,158,0.3550561797752809,306.3340148925781,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-03 12:19:10.360735+00:00,0.3550561797752809,0.3120083981199543,0.40058508697590145,false,true,
claude-code,claude-haiku-4-5-20251001@anthropic,438,89,121,0.2762557077625571,238.33250427246094,42.0,21.0,0.9200913242009132,1.0,0.9041095890410958,0.09882834911346436,0.003982787892958563,0.06599025713677412,0.023656834985868656,0.7922374429223744,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-05 12:07:58.397156+00:00,0.2752808988764045,0.23646194655615044,0.3199401667803938,true,true,0.9392659080299464
sage,gemini-3-pro-preview@google,445,89,290,0.651685393258427,305.2770080566406,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-13 21:38:10.601513+00:00,0.651685393258427,0.6062907778644794,0.6944834819189275,false,true,
terminus-2,kimi-k2.5@kimi,435,89,189,0.43448275862068964,474.7909851074219,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-01-28 06:56:05.571068+00:00,0.4320224719101124,0.3886748159335843,0.4814377713872166,false,true,
mini-swe-agent,grok-code-fast-1@xai,445,89,115,0.25842696629213485,177.2779998779297,18.0,16.0,0.9797752808988764,1.0,0.950561797752809,0.008773880004882812,0.0013946502751856354,0.09974134182548587,0.0028850158696921537,0.8134831460674158,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-03 22:16:54.048888+00:00,0.25842696629213485,0.21994179256547475,0.30104734926095145,true,true,0.05063670905153064
terminus-2,gpt-5.1@openai,445,89,212,0.4764044943820225,600.89599609375,7.0,22.0,1.0,1.0,0.9932584269662922,0.3177064990997315,0.0033283513821132306,0.030275560986424286,0.047462141689455666,0.4853932584269663,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,,0.4758426966292135,0.4304003214680028,0.5228125714545785,true,true,0.8756562453620839
terminus-2,claude-opus-4-6@anthropic,445,89,280,0.6292134831460674,375.2430114746094,11.0,20.0,1.0,1.0,1.0,0.3231349945068359,0.01976191531350376,0.04363108926667196,0.08312258257309396,0.6022471910112359,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,,0.6292134831460674,0.5834079731633646,0.6728071370225006,true,true,0.7951435717557157
deepagent-harbor,gpt-5.2-codex@openai,433,89,293,0.6766743648960739,584.7680053710938,22.0,18.0,0.9630484988452656,1.0,0.0,,0.03023985280155329,0.0460080579561338,0.04579191047767779,0.11778290993071594,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-10 17:36:51.789353+00:00,0.6651685393258427,0.6312296035094792,0.7190117654443934,false,true,
Factory Droid,gpt-5.3-codex@openai,445,89,344,0.7730337078651686,403.0119934082031,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-22 14:06:59.934718+00:00,0.7730337078651686,0.7318748560784865,0.8095188115316461,false,true,
mini-swe-agent,gpt-5@openai,445,89,151,0.3393258426966292,534.8800048828125,8.0,6.0,0.9707865168539326,1.0,0.9707865168539326,0.23474488258361817,0.00018726591760299624,0.19819868979099067,0.0004369538077403245,0.3550561797752809,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-03 22:17:02.465235+00:00,0.3393258426966292,0.2968756727215548,0.38452640765602164,true,true,0.9712435703403903
terminus-2,gpt-5-nano@openai,436,89,35,0.08027522935779817,931.759521484375,13.0,60.0,0.9977064220183486,1.0,0.9977064220183486,0.021374530792236328,0.0030460521409344313,0.024073412259988224,0.01721522769077864,0.6926605504587156,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-10-31 09:52:17.056165+00:00,0.07865168539325842,0.058284087419059195,0.10959816837484482,true,true,0.42086646352921214
mini-swe-agent,gpt-5-nano@openai,445,89,31,0.0696629213483146,214.21400451660156,7.0,5.0,0.9910112359550561,1.0,0.9842696629213483,0.007584159970283508,0.0097225670057295,0.15614533401766043,0.020440491582184903,0.46292134831460674,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-03 22:17:05.474884+00:00,0.0696629213483146,0.049507732264582396,0.09718455294249288,true,true,0.15419476576389804
goose,claude-opus-4-5@anthropic,442,89,239,0.5407239819004525,268.7355041503906,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-06 16:26:30.267799+00:00,0.5432584269662921,0.4941133661539815,0.586632800197476,false,true,
terminus-2,gemini-2.5-pro@gemini,442,89,145,0.32805429864253394,364.65850830078125,11.0,20.0,1.0,1.0,0.997737556561086,0.22162261962890625,0.01025990593965325,0.06570250889524627,0.0832747602388619,0.6018099547511312,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,,0.32640449438202246,0.28592883794693774,0.3731429041246859,true,true,1.338877653294596
terminus-2,openai/gpt-oss-20b@together_ai,932,89,28,0.030042918454935622,116.44400024414062,6.0,6.0,1.0,1.0,0.9978540772532188,0.001491599977016449,0.01686564036458244,0.16830579960998157,0.09983975284128857,0.6244635193133047,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-01 20:15:12.250093+00:00,0.030711610486891385,0.02086614067424248,0.04307801397757039,true,true,1.505502564667591
Factory Droid,claude-opus-4-5-20251101@anthropic,445,89,281,0.6314606741573033,463.385986328125,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-10 16:10:39.512279+00:00,0.6314606741573034,0.5856915672741274,0.6749794578714918,false,true,
terminus-2,moonshotai/kimi-k2-thinking@together_ai,892,89,320,0.35874439461883406,591.3494873046875,24.0,40.0,1.0,1.0,0.9977578475336323,0.32264461517333987,0.0133117546140524,0.12795642725654127,0.05725036139102394,0.8183856502242153,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-11 10:43:48.786115+00:00,0.35730337078651686,0.32793569246320814,0.3907645777631355,true,true,3.325233704984188
openhands,gpt-5-mini@openai,445,89,130,0.29213483146067415,828.77197265625,37.0,30.0,0.9640449438202248,1.0,0.9617977528089887,0.06115550041198731,0.0,0.06368694361487282,0.4682776038949395,0.2808988764044944,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-04 02:33:12.775359+00:00,0.29213483146067415,0.2518059492854117,0.336021916937327,true,true,0.32467022947508556
codex,gpt-5-nano@openai,440,89,51,0.1159090909090909,132.41799926757812,10.0,5.0,0.9613636363636363,1.0,0.9613636363636363,0.004496690034866333,0.00048720219174764625,0.12966194574046383,0.0025750575182393364,0.5159090909090909,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-11-05 09:15:22.819657+00:00,0.11460674157303372,0.08926686841277745,0.14920018830295176,true,true,0.043663281495956816
mux,gpt-5.3-codex@openai,445,89,305,0.6853932584269663,387.55499267578125,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-02-08 23:10:07.602805+00:00,0.6853932584269663,0.6408172793791793,0.7267957048005402,false,true,
openhands,claude-opus-4-5-20251101@anthropic,445,89,231,0.5191011235955056,416.3590087890625,29.0,25.0,0.9842696629213483,1.0,0.0,,0.0302413632441415,0.07329941059327481,0.1409297842047012,0.3415730337078652,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2026-01-04 08:38:06.649018+00:00,0.5191011235955056,0.47271389637305583,0.5651613807848547,false,true,
terminus-2,gpt-5.2@openai,444,89,240,0.5405405405405406,537.4295043945312,7.0,31.5,0.9977477477477478,1.0,0.0,,0.007677811468735955,0.012116800165375804,0.03522532392521932,0.581081081081081,04e8940f5b6736a7ce8d22224fe2f2af74163ed2,2025-12-12 23:45:00.306301+00:00,0.5404494382022472,0.49403510842212783,0.586350456474032,false,true,
